id,token,type,line,column
6,"#Comentário de uma linha
",com,1,1
1,int,id,3,1
1,x,id,3,5
3,=,op,3,7
2,2,num,3,9
4,;,sep,3,10
1,int,id,4,1
1,y,id,4,5
3,=,op,4,7
1,x,id,4,9
3,+,op,4,11
2,3,num,4,13
4,;,sep,4,14
1,char,id,5,1
1,d,id,5,6
3,=,op,5,8
5,'t',lit,5,10
4,;,sep,5,13
1,int,id,6,1
1,z,id,6,5
3,=,op,6,7
1,d,id,6,9
3,*,op,6,11
2,2,num,6,13
4,;,sep,6,14
1,string1,id,8,1
3,=,op,8,9
5,"""isso é uma string""",lit,8,11
4,;,sep,8,30
6,"#$ Comentário
   de várias linhas
   ignorado corretamente $#",com,10,1
1,bool,id,14,1
1,t,id,14,6
3,=,op,14,8
1,True,id,14,10
4,;,sep,14,14
1,bool,id,15,1
1,f,id,15,6
3,=,op,15,8
1,False,id,15,10
4,;,sep,15,15
1,bool,id,16,1
1,logico1,id,16,6
3,=,op,16,14
1,t,id,16,16
3,&&,op,16,18
1,f,id,16,21
4,;,sep,16,22
1,for,id,18,1
4,(,sep,18,4
1,int,id,18,5
1,i,id,18,9
3,=,op,18,11
2,0,num,18,13
4,;,sep,18,14
1,i,id,18,16
3,<,op,18,18
2,10,num,18,20
4,;,sep,18,22
1,i,id,18,24
3,=,op,18,26
1,i,id,18,28
3,+,op,18,30
2,1,num,18,32
4,),sep,18,33
4,{,sep,18,35
1,if,id,19,3
4,(,sep,19,5
1,logico1,id,19,6
4,),sep,19,13
4,{,sep,19,15
1,i,id,20,5
3,=,op,20,7
1,i,id,20,9
3,+,op,20,11
2,3,num,20,13
4,;,sep,20,14
4,},sep,21,3
4,},sep,22,1
1,int,id,24,1
1,y,id,24,5
4,;,sep,24,6
