id,token,type,line,column
6,"#Este é um comentário de uma linha
",com,1,1
1,x,id,2,1
3,=,op,2,3
2,10,num,2,5
3,+,op,2,8
2,20,num,2,10
4,;,sep,2,12
6,"#Outro comentário
",com,2,15
1,y,id,3,1
3,=,op,3,3
1,x,id,3,5
3,*,op,3,7
2,2,num,3,9
4,;,sep,3,10
6,"#$ Este é um comentário
multi-linha que termina aqui$#",com,5,1
1,f,id,8,1
3,=,op,8,3
2,2,num,8,5
4,;,sep,8,6
1,z,id,9,1
3,=,op,9,3
5,"""string literal""",lit,9,5
4,;,sep,9,21
1,w,id,10,1
3,=,op,10,3
5,'outro literal',lit,10,5
4,;,sep,10,20
